date,USD,EUR,KZT,UAH,BYR,AZN,UZS,KGS,GEL
2003-01,31.7844,33.2719,0.20392,5.9419,0.01643,,,,
2003-02,31.8345,34.429,0.20558,5.94182,0.01626,,,,
2003-03,31.5729,33.9409,0.20819,5.89454,0.01599,,,,
2003-04,31.3801,33.9815,0.2062,5.85471,0.0157,,,,
2003-05,31.1021,34.5513,0.20488,5.77205,0.01533,,,,
2003-06,30.709,36.4669,0.20413,5.63882,0.01501,,,,
2003-07,30.3809,34.7223,0.20595,5.64921,0.01472,,,,
2003-08,30.2791,34.3395,0.20636,5.64751,0.01457,,,,
2003-09,30.5036,33.2001,0.20683,5.67055,0.01452,,,,
2003-10,30.6142,35.6043,0.20566,5.67897,0.01448,,,,
2003-11,29.9451,34.7992,0.20292,5.55465,0.01404,,,,
2003-12,29.7387,35.5021,0.20281,5.51687,0.01384,,,,
2004-01,29.4545,37.0979,0.20567,5.474,0.01358,,,,
2004-02,28.4937,35.3635,0.20432,5.27896,0.01319,,,,
2004-03,28.5156,35.5076,0.2051,5.2939,0.01323,,,,
2004-04,28.5151,34.9082,0.20535,5.2941,0.01326,,,,
2004-05,28.9612,34.6289,0.20967,5.40129,0.01342,,,,
2004-06,28.9993,35.3907,0.21172,5.43363,0.01345,,,,
2004-07,29.0471,35.0889,0.21368,5.443,0.01344,,,,
2004-08,29.1019,35.0532,0.21348,5.455,0.01346,,,,
2004-09,29.2591,35.3713,0.21452,5.47267,0.01352,,,,
2004-10,29.2224,36.0312,0.21749,5.43157,0.01346,,,,
2004-11,28.7655,36.6472,0.21788,5.34595,0.01321,,,,
2004-12,28.1496,37.3264,0.21645,5.25728,0.0129,,,,
2005-01,27.7487,37.8409,0.21344,5.12337,0.01275,,,,
2005-02,28.1136,36.5899,0.21623,5.28382,0.01292,,,,
2005-03,27.7007,36.72,0.21284,5.22822,0.01281,,,,
2005-04,27.8548,36.0274,0.21023,5.32108,0.01292,,,,
2005-05,27.7726,36.0072,0.21139,5.46974,0.0129,,,,
2005-06,28.1946,34.9134,0.21324,5.55559,0.0131,,,,
2005-07,28.6282,34.6258,0.21209,5.67558,0.0133,,,,
2005-08,28.6341,34.716,0.21073,5.6852,0.01332,,,,
2005-09,28.5566,34.879,0.21104,5.65612,0.01326,,,,
2005-10,28.5348,34.3074,0.21335,5.59429,0.01326,,,,
2005-11,28.503,34.3946,0.21257,5.54059,0.01325,,,,
2005-12,28.7792,33.9393,0.21463,5.66375,0.01338,,,,
2006-01,28.7825,34.185,0.21534,5.67232,0.01336,,,,
2006-02,28.1305,34.0492,0.213,5.49284,0.01308,,,,
2006-03,28.1211,33.3291,0.21581,5.50315,0.01307,,,,
2006-04,27.6996,33.6273,0.21573,5.42258,0.01287,,,,
2006-05,27.2739,34.1906,0.21917,5.37279,0.01268,,,,
2006-06,26.9355,34.7064,0.22215,5.38301,0.01256,,,,
2006-07,26.9423,34.2383,0.22771,5.34824,0.01257,,,,
2006-08,26.8197,34.2112,0.22661,5.32,0.01252,,,,
2006-09,26.7295,34.318,0.21321,5.29098,0.01248,,,,
2006-10,26.7799,33.9783,0.21049,5.29896,0.01251,,,,
2006-11,26.7811,33.9852,0.20951,5.28414,0.0125,,,,
2006-12,26.3081,34.6899,0.20563,5.20303,0.01229,,,,
2007-01,26.3311,34.6965,0.20761,5.21987,0.01229,,,,
2007-02,26.5484,34.3802,0.21032,5.23823,0.01235,,,,
2007-03,26.1481,34.539,0.21001,5.16567,0.01217,,,,
2007-04,26.0113,34.6861,0.21006,5.13966,0.01212,,,,
2007-05,25.6851,35.0653,0.21384,5.08233,0.01195,,,,
2007-06,25.9043,34.8128,0.21134,5.13709,0.01205,,,,
2007-07,25.8162,34.715,0.21101,5.11465,0.01202,,,,
2007-08,25.5448,35.0015,0.20663,5.07778,0.01189,,,,
2007-09,25.6262,35.0233,0.2028,5.09528,0.01191,,,,
2007-10,24.9493,35.3457,0.20625,4.95517,0.0116,,,,
2007-11,24.6724,35.6492,0.2041,4.87713,0.01146,,,,
2007-12,24.4171,36.0055,0.20202,4.81239,0.01133,,,,
2008-01,24.5462,35.9332,0.20349,4.82357,0.01139,,,,
2008-02,24.4262,36.29,0.20319,4.79001,0.01135,,,,
2008-03,24.0023,36.5099,0.1986,4.70975,0.01118,,,,
2008-04,23.5027,37.0873,0.19473,4.66203,0.01094,,,,
2008-05,23.6588,36.8959,0.1965,4.73583,0.01105,,,,
2008-06,23.7384,36.7827,0.19685,4.93501,0.01111,,,,
2008-07,23.4068,36.971,0.19383,4.96359,0.01101,,,,
2008-08,23.4186,36.5752,0.19483,5.01576,0.01108,,,,
2008-09,24.5769,36.2264,0.20551,5.28535,0.01164,,,,
2008-10,25.3718,36.4999,0.21155,5.00529,0.012,,,,
2008-11,27.0981,34.4092,0.22614,4.52767,0.01282,,,,
2008-12,27.606,35.7166,0.22933,3.74319,0.01289,,,,
2009-01,29.3916,41.4275,0.24247,3.82952,0.01335,,,,
2009-02,35.4146,45.6636,0.29021,4.5564,0.01301,,,,
2009-03,35.7205,45.3543,0.23705,4.20241,0.01253,,,,
2009-04,33.9032,44.8946,0.22465,4.21158,0.01195,,,,
2009-05,32.974,43.9939,0.21861,4.06084,0.01167,,,,
2009-06,30.9843,43.378,0.20589,4.05288,0.01112,,,,
2009-07,31.0385,43.8512,0.20622,4.05732,0.01094,,,,
2009-08,31.1533,43.9978,0.20668,3.87961,0.01093,,,,
2009-09,31.8397,45.4321,0.2111,3.76578,0.01127,,,,
2009-10,30.0087,43.8877,0.19881,3.60898,0.01085,,,,
2009-11,29.0488,43.0678,0.19268,3.53392,0.01059,,,,
2009-12,29.0687,43.7658,0.19549,3.62679,0.01045,,,,
2010-01,30.1851,43.4605,0.20324,3.7497,0.01054,,,,
2010-02,30.4312,42.4637,0.20569,3.78969,0.01054,37.798,0.01997,0.6881,
2010-03,29.9484,40.8047,0.20328,3.73328,0.01022,37.1984,0.01948,0.66924,
2010-04,29.4956,39.5713,0.20069,3.6999,0.0099,36.6359,0.01898,0.65191,
2010-05,29.1537,38.6986,0.19904,3.65885,0.00984,36.2879,0.01861,0.64435,
2010-06,30.74,37.8133,0.20958,3.87886,0.01024,38.2529,0.01947,0.66826,
2010-07,31.2554,38.2097,0.21181,3.94569,0.01035,38.8749,0.0196,0.67946,
2010-08,30.1869,39.4694,0.20435,3.82316,0.01014,37.5646,0.0188,0.64709,
2010-09,30.8669,39.0127,0.20949,3.91364,0.01024,38.4108,0.01914,0.66167,
2010-10,30.5126,41.4392,0.20675,3.84386,0.01013,38.003,0.01883,0.65407,
2010-11,30.7821,42.7256,0.20865,3.87172,0.01022,38.4296,0.01893,0.65937,
2010-12,31.3335,41.0814,0.21223,3.93316,0.01033,39.1767,0.01918,0.66881,
2011-01,30.3505,40.4876,0.20583,3.80929,0.01011,37.9476,0.01851,0.64439,
2011-02,29.8018,40.5811,0.20272,3.75101,0.00989,37.3972,0.01805,0.63046,
2011-03,28.9028,39.8136,0.19799,3.6413,0.00956,36.3374,0.01736,0.60876,
2011-04,28.5162,40.3875,0.19567,3.57682,0.00936,35.8514,0.017,0.60358,
2011-05,27.5022,40.8078,0.18886,3.45288,0.00912,34.7425,0.01626,0.58718,
2011-06,27.9805,40.2444,0.19241,3.50655,0.00562,35.4453,0.01644,0.61229,
2011-07,27.8726,40.4153,0.1911,3.48909,0.00561,35.4298,0.01629,0.61656,
2011-08,27.6796,39.5182,0.18914,3.46125,0.00559,35.1889,0.01605,0.6192,
2011-09,28.9278,41.7631,0.19734,3.62005,0.00568,36.8507,0.01668,0.64712,
2011-10,32.11,43.4191,0.21686,4.01561,0.00569,40.9828,0.01838,0.71354,
2011-11,30.1245,42.1833,0.20384,3.76321,0.00354,38.3459,0.0171,0.66066,
2011-12,31.4001,41.7559,0.21257,3.91498,0.00365,39.9645,0.01764,0.6705,
